theorem_id,drafter_model,drafter_alias,attempt_idx,sampler,temperature,closed,axioms_clean,proof_match_vs_aristotle,dead_tactic_count,proof_length_chars,aristotle_length_chars,wall_sec_sample,wall_sec_verify,cost_usd_est,raw_output_preview,timestamp
ranking_four_way,anthropic/claude-sonnet-4-6,sonnet,1,temp0.7,0.7,False,,nonclose,0,142,2061,4.84,9.27,0.0049,":= by
  refine ⟨?_, ?_, ?_⟩
  · exact etaBetting_le_etaAsymptotic b hb
  · exact etaAsymptotic_le_etaHR b hb
  · exact etaHR_le_etaVector b hb",20260423_124254
ranking_four_way,anthropic/claude-sonnet-4-6,sonnet,2,temp0.7,0.7,False,,nonclose,0,142,2061,5.0,10.43,0.0056,":= by
  refine ⟨?_, ?_, ?_⟩
  · exact etaBetting_le_etaAsymptotic b hb
  · exact etaAsymptotic_le_etaHR b hb
  · exact etaHR_le_etaVector b hb",20260423_124308
etaHR_nonneg,openai/kimi-k2.5,kimi,0,greedy,0.0,True,True,alternate,0,33,21,13.4,19.67,0.0032,":= by
  unfold etaHR
  positivity",20260423_124324
etaHR_nonneg,openai/kimi-k2.5,kimi,1,temp0.7,0.7,True,True,alternate,0,33,21,25.8,19.31,0.0048,":= by
  simp [etaHR]
  positivity",20260423_124357
etaHR_nonneg,openai/kimi-k2.5,kimi,2,temp0.7,0.7,True,True,alternate,0,43,21,31.05,19.85,0.0041,":= by
  simp [etaHR]
  all_goals positivity",20260423_124442
etaHR_mono,openai/kimi-k2.5,kimi,0,greedy,0.0,True,True,alternate,0,45,188,23.11,21.37,0.0058,":= by
  intro b₁ b₂ h
  simp [etaHR]
  gcongr",20260423_124533
etaHR_mono,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,47,188,47.57,10.23,0.008,":= by
  intro b₁ b₂ h
  simp [etaHR]
  linarith",20260423_124617
etaHR_mono,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,111,188,32.61,9.12,0.0067,":= by
  intro b₁ b₂ h
  induction h with
  | refl => rfl
  | step _ ih =>
    simp [etaHR] at ih ⊢
    linarith",20260423_124715
etaHR_le_slack,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,99,2389,13.2,10.08,0.0035,":= by
  simp [slack]
  all_goals nlinarith [hσ, show 0 ≤ (2 : ℝ) ^ (-(bp.scale : ℤ)) by positivity]",20260423_124757
etaHR_le_slack,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,106,2389,22.49,10.21,0.0055,":= by
  simp [slack, etaHR]
  all_goals nlinarith [hσ, show 0 ≤ (2 : ℝ) ^ (-(bp.scale : ℤ)) by positivity]",20260423_124820
etaHR_le_slack,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,96,2389,41.51,9.27,0.0051,":= by
  simp [etaHR, slack]
  nlinarith [hσ, show 0 ≤ (2 : ℝ) ^ (-(bp.scale : ℤ)) by positivity]",20260423_124853
etaBetting_pos,openai/kimi-k2.5,kimi,0,greedy,0.0,True,True,alternate,0,38,431,17.29,19.29,0.0037,":= by
  unfold etaBetting
  positivity",20260423_124943
etaBetting_pos,openai/kimi-k2.5,kimi,1,temp0.7,0.7,True,True,alternate,0,38,431,14.94,8.23,0.003,":= by
  unfold etaBetting
  positivity",20260423_125020
etaBetting_pos,openai/kimi-k2.5,kimi,2,temp0.7,0.7,True,True,alternate,0,39,431,15.63,12.43,0.0041,":= by 
  unfold etaBetting
  positivity",20260423_125043
etaBetting_antitone,openai/kimi-k2.5,kimi,0,greedy,0.0,True,True,alternate,1,71,647,35.27,18.81,0.0063,":= by
  intro b₁ b₂ h
  simp [etaBetting]
  gcongr
  all_goals linarith",20260423_125111
etaBetting_antitone,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,128,647,22.6,8.73,0.0058,":= by
  intro b₁ b₂ h
  simp [etaBetting]
  apply one_div_le_one_div_of_le (by positivity)
  exact_mod_cast add_le_add_right h 1",20260423_125205
etaBetting_antitone,openai/kimi-k2.5,kimi,2,temp0.7,0.7,True,True,alternate,1,69,647,75.5,18.39,0.0082,":= by
  intro b₁ b₂ h
  unfold etaBetting
  <;> gcongr
  <;> linarith",20260423_125237
etaBetting_le_etaHR,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,118,1850,30.26,9.27,0.0067,":= by 
  have h : (b : ℝ) ≥ 1 := by exact_mod_cast hb
  simp [etaBetting, etaHR]
  nlinarith [sq_nonneg ((b : ℝ) - 1)]",20260423_125411
etaBetting_le_etaHR,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,8,1850,38.02,8.21,0.0089,":= by
  ",20260423_125450
etaBetting_le_etaHR,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,48,1850,24.43,8.42,0.004,":= by
  unfold etaBetting etaHR
  nlinarith [hb]",20260423_125536
etaVector_eq_sqrt_two_mul_etaHR,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,134,240,13.04,9.46,0.0035,":= by
  simp [etaVector, etaHR]
  ring_nf
  norm_num
  <;> nlinarith [Real.sqrt_nonneg 2, Real.sq_sqrt (show (0 : ℝ) ≤ 2 by norm_num)]",20260423_125609
etaVector_eq_sqrt_two_mul_etaHR,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,68,240,33.73,8.51,0.0075,":= by
  simp [etaVector, etaHR]
  rw [Real.sqrt_mul (by positivity)]",20260423_125632
etaVector_eq_sqrt_two_mul_etaHR,openai/kimi-k2.5,kimi,2,temp0.7,0.7,True,True,alternate,2,77,240,13.14,17.39,0.0032,":= by
  simp [etaVector, etaHR]
  <;> ring_nf <;> norm_num
  <;> try linarith",20260423_125714
etaHR_le_etaVector,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,53,1118,17.74,9.29,0.0037,":= by 
  simp [etaHR, etaVector]
  all_goals linarith",20260423_125744
etaHR_le_etaVector,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,47,1118,41.75,8.6,0.0048,":= by
  simp [etaHR, etaVector]
  <;> nlinarith",20260423_125811
etaHR_le_etaVector,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,53,1118,14.19,8.5,0.0035,":= by 
  simp [etaHR, etaVector]
  all_goals linarith",20260423_125902
etaAsymptotic_le_etaHR,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,58,469,15.54,9.38,0.0044,":= by 
  simp [etaAsymptotic, etaHR]
  all_goals nlinarith",20260423_125924
etaAsymptotic_le_etaHR,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,114,469,26.87,12.37,0.0048,":= by
  have hb' : (b : ℝ) ≥ 1 := by exact_mod_cast hb
  unfold etaAsymptotic etaHR
  gcongr
  all_goals nlinarith",20260423_125949
etaAsymptotic_le_etaHR,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,62,469,16.56,9.79,0.0038,":= by
  simp [etaAsymptotic, etaHR]
  all_goals nlinarith [hb]",20260423_130029
ranking_four_way,openai/kimi-k2.5,kimi,0,greedy,0.0,False,,nonclose,0,91,2061,27.26,11.43,0.0065,":= ⟨etaBetting_le_etaAsymptotic b hb, etaAsymptotic_le_etaHR b hb, etaHR_le_etaVector b hb⟩",20260423_130055
ranking_four_way,openai/kimi-k2.5,kimi,1,temp0.7,0.7,False,,nonclose,0,91,2061,22.7,9.83,0.0056,":= ⟨etaBetting_le_etaAsymptotic b hb, etaAsymptotic_le_etaHR b hb, etaHR_le_etaVector b hb⟩",20260423_130134
ranking_four_way,openai/kimi-k2.5,kimi,2,temp0.7,0.7,False,,nonclose,0,157,2061,26.68,8.72,0.0059,":= by
  refine ⟨?_, ?_, ?_⟩
  · simp [etaBetting, etaAsymptotic]; nlinarith
  · simp [etaAsymptotic, etaHR]; nlinarith
  · simp [etaHR, etaVector]; nlinarith",20260423_130206
etaHR_nonneg,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,True,True,alternate,0,30,21,10.01,7.75,0.009,:= by unfold etaHR; positivity,20260423_130242
etaHR_nonneg,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,16,21,7.35,69.15,0.0058,:= by positivity,20260423_130259
etaHR_nonneg,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,16,21,7.53,14.29,0.0054,:= by positivity,20260423_130416
etaHR_mono,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,True,True,alternate,0,45,188,12.43,23.48,0.0116,":= by
  intro b₁ b₂ h
  unfold etaHR
  gcongr",20260423_130438
etaHR_mono,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,True,True,alternate,0,46,188,11.79,22.21,0.0114,:= by intro b₁ b₂ h; simp only [etaHR]; gcongr,20260423_130514
etaHR_mono,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,True,True,alternate,0,45,188,17.83,22.26,0.0187,":= by
  intro b₁ b₂ h
  unfold etaHR
  gcongr",20260423_130548
etaHR_le_slack,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,9,2389,27.96,10.77,0.0397,:= le_rfl,20260423_130628
etaHR_le_slack,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,9,2389,28.29,10.56,0.0333,:= le_rfl,20260423_130707
etaHR_le_slack,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,543,2389,37.22,11.87,0.0412,":= by
  ` unless it's `0 ≤ b - a`, which requires `ring` or something first.
  What if I use `nlinarith`? `nlinarith` requires the definitions to be unfolded or visible.
  If I use `dsimp [slack]; nli",20260423_130745
etaBetting_pos,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,16,431,9.59,9.72,0.0037,:= by positivity,20260423_130834
etaBetting_pos,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,16,431,5.07,10.13,0.0035,:= by positivity,20260423_130854
etaBetting_pos,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,True,True,alternate,0,35,431,8.94,20.41,0.0078,:= by unfold etaBetting; positivity,20260423_130909
etaBetting_antitone,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,True,True,alternate,0,50,647,19.18,23.8,0.0201,":= by
  intro b₁ b₂ h
  unfold etaBetting
  gcongr",20260423_130938
etaBetting_antitone,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,True,True,alternate,0,50,647,21.73,11.56,0.0225,":= by
  intro b₁ b₂ h
  unfold etaBetting
  gcongr",20260423_131021
etaBetting_antitone,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,True,True,alternate,0,50,647,11.26,10.77,0.0106,":= by
  intro b₁ b₂ h
  unfold etaBetting
  gcongr",20260423_131055
etaBetting_le_etaHR,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,150,1850,44.29,20.99,0.0403,":= by
  unfold etaBetting etaHR
  have hb0 : 0 ≤ (b : ℝ) := Nat.cast_nonneg b
  have hb1 : 1 ≤ (b : ℝ) := Nat.one_le_cast.mpr hb
  gcongr <;> linarith",20260423_131117
etaBetting_le_etaHR,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,173,1850,38.85,10.31,0.0412,":= by
  `? No, `omega` is for `Nat` and `Int`. `hb : 1 ≤ b`, so `omega` can prove `0 < b`.
  But `gcongr` might leave goals over `ℝ`.
  Let's consider what happens if we do:",20260423_131222
etaBetting_le_etaHR,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,54,1850,37.34,27.74,0.0398,":= by
  simp [etaBetting, etaHR]
  gcongr <;> linarith",20260423_131311
etaVector_eq_sqrt_two_mul_etaHR,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,6,240,6.92,20.73,0.0065,:= rfl,20260423_131416
etaVector_eq_sqrt_two_mul_etaHR,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,6,240,15.97,13.34,0.0169,:= rfl,20260423_131444
etaVector_eq_sqrt_two_mul_etaHR,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,6,240,11.04,11.2,0.0096,:= rfl,20260423_131513
etaHR_le_etaVector,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,46,1118,18.25,11.53,0.018,:= by unfold etaHR etaVector; gcongr <;> omega,20260423_131535
etaHR_le_etaVector,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,42,1118,17.77,11.5,0.0171,":= by
  unfold etaHR etaVector
  nlinarith",20260423_131605
etaHR_le_etaVector,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,38,1118,15.32,10.65,0.0144,:= by unfold etaHR etaVector; linarith,20260423_131634
etaAsymptotic_le_etaHR,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,152,469,38.48,10.8,0.0402,":= by
  unfold etaAsymptotic etaHR
  have hb_real : (1 : ℝ) ≤ b := by exact_mod_cast hb
  have hb_pos : (0 : ℝ) < b := by linarith
  gcongr <;> linarith",20260423_131700
etaAsymptotic_le_etaHR,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,468,469,41.3,11.16,0.0412,":= by
  ` or similar? No, `field_simp` is just a tactic.
  If `hb : 1 ≤ b`, then `b > 0` and `b ≠ 0` etc.
  Wait, if `b : ℕ`, then division is integer division!
  If it's integer division, `field_simp",20260423_131750
etaAsymptotic_le_etaHR,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,93,469,21.17,11.78,0.0209,":= by
  unfold etaAsymptotic etaHR
  have : (1 : ℝ) ≤ b := Nat.one_le_cast.mpr hb
  nlinarith",20260423_131842
ranking_four_way,gemini/gemini-3-pro-preview,gemini,0,greedy,0.0,False,,nonclose,0,91,2061,18.97,10.47,0.0207,":= ⟨etaBetting_le_etaAsymptotic b hb, etaAsymptotic_le_etaHR b hb, etaHR_le_etaVector b hb⟩",20260423_131915
ranking_four_way,gemini/gemini-3-pro-preview,gemini,1,temp0.7,0.7,False,,nonclose,0,91,2061,13.68,11.05,0.0154,":= ⟨etaBetting_le_etaAsymptotic b hb, etaAsymptotic_le_etaHR b hb, etaHR_le_etaVector b hb⟩",20260423_131945
ranking_four_way,gemini/gemini-3-pro-preview,gemini,2,temp0.7,0.7,False,,nonclose,0,91,2061,8.76,9.97,0.0091,":= ⟨etaBetting_le_etaAsymptotic b hb, etaAsymptotic_le_etaHR b hb, etaHR_le_etaVector b hb⟩",20260423_132009
